brand,url_part,title,final Price,Original Price,product desc,material
AKS,kurtas/aks/aks-women-red-printed-pathani-kurta/2095050/buy,Printed Pathani Kurta,604,1099,"Red and beige printed Pathani kurta, has a shirt collar, full button placket, three-quarter sleeves, multiple slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-green-yoke-design-anarkali-kurta/2382476/buy,Yoke Design Anarkali Kurta,999,1999,"Green yoke design Anarkali kurta, has a stylised mandarin collar, short sleeves, a tie-up detail on the front with tassels, curved and flared hem, no slits",Chanderi silkDry-clean
AKS,kurtas/aks/aks-women-blue-yoke-design-straight-kurta/2249987/buy,Yoke Design Straight Kurta,649,999,"Blue and maroon yoke design straight kurta, has a round neck, short sleeves, a straight hem, and side slits",CottonMachine-wash cold
AKS,kurtas/aks/aks-women-mustard-yellow-solid-straight-kurta/1945065/buy,Solid Straight Kurta,599,999,"Mustard yellow solid straight kurta, has a round neck, sleeveless, straight hem, side slits",Cotton Machine-wash cold
AKS,kurtas/aks/aks-women-yellow-floral-print-straight-kurta/2382498/buy,Printed Straight Kurta,604,1099,"Yellow floral print straight kurta, has a V-neck, three-quarter layered bell sleeves, straight hem, side slits",ayonMachine-wash
AKS,kurtas/aks/aks-women-navy-blue--rust-red-yoke-design-anarkali-kurta/2262289/buy,Yoke Design Anarkali Kurta,749,1499,"Navy blue and rust red yoke design Anarkali kurta, has a round neck, short sleeves, flared hem, no slits",Cotton Machine-wash
AKS,kurtas/aks/aks-women-yellow--grey-checked-cold-shoulder-straight-kurta/2111511/buy,Cold Shoulder Straight Kurta,604,1099,"Yellow checked straight kurta, has a round neck, three-quarter cold shoulder sleeves, straight hem with fringed, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-yellow--blue-printed-layered-anarkali-kurta/2024455/buy,Printed Anarkali Kurta,1099,2199,"Yellow and blue printed layered Anarkali kurta, has a round neck, three-quarter sleeves, flared hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-navy-printed-a-line-kurta/2024425/buy,Printed A-Line Kurta,699,999,"Navy and white printed A-line kurta, has a round neck, three-quarter flared sleeves, flared hem",Crepe  Machine-wash
AKS,kurtas/aks/aks-women-yellow--red-embroidered-anarkali-kurta/2262338/buy,Embroidered Anarkali Kurta,999,1999,"Yellow and red embroidered Anarkali kurta, has a round neck, short sleeves, flared hem, no slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-rust-red--beige-printed-straight-kurta/2250026/buy,Printed Straight Kurta,629,899,"Rust red and beige printed straight kurta, has a mandarin collar, three-quarter sleeves, curved hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-red--navy-colourblocked-straight-kurta/2082389/buy,Colourblocked Straight Kurta,604,1099,"Red and navy solid straight kurta, has a round neck, three-quarter sleeve, straight hem, side slits",Rayon  Hand-wash
AKS,kurtas/aks/aks-women-turquoise-blue-solid-anarkali-kurta/2382479/buy,Solid Anarkali Kurta,1044,1899,"Turquoise blue solid Anarkali kurta, has a V-neck, short sleeves, flared hem",Chanderi silkMachine-wash
AKS,kurtas/aks/aks-women-mustard-yellow--maroon-printed-a-line-kurta/2250103/buy,Printed A-Line Kurta,604,1099,"Mustard yellow and maroon printed A-line kurta, has a round neck, short sleeves, flared hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-pink-solid-straight-kurta/1951416/buy,Solid Straight Kurta,458,899,"Pink and beige solid straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits",Viscose rayon  Machine-wash
AKS,kurtas/aks/aks-women-grey-solid-straight-kurta/2262271/buy,Solid Straight Kurta,604,1099,"Grey solid straight kurta, has a V-neck, short sleeves, straight hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-black-printed-a-line-kurta/2250028/buy,Printed A-Line Kurta,604,1099,"Black printed A-line kurta, has a round neck, short sleeves, flared hem, no slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-blue-solid-anarkali-kurta/2082322/buy,Women Solid Anarkali Kurta,799,1599,"Blue solid Anarkali kurta, has a mandarin collar, three-quarter sleeves, flared hem",Cotton  Hand-wash
AKS,kurtas/aks/aks-women-red-printed-detail-a-line-kurta/2249980/buy,Printed Detail A-Line Kurta,649,1299,"Red A-line kurta with printed detail, has a round neck, short sleeves, asymmetric hem, no slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-white--mustard-yellow-printed-straight-kurta/2448864/buy,Printed Straight Kurta,509,999,"White and mustard yellow printed straight kurta, has a round neck, sleeveless, a straight hem, side slits, and a solid back",RayonMachine-wash cold
